id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m0m0_5249	34.26113495	-7.474348277	3.68689	0.0376347	0	0.79	0.555	1.025	1.273	0	25.5196	24.4432	23.1833	21.9898	-99.0	21.3383
W1m0m0_5316	34.19703532	-7.473616636	2.57226	0.318394	0	0.5	0.303	0.697	1.091	0	26.1498	24.1805	22.6328	21.8292	-99.0	21.4722
W1m0m0_5395	34.31424238	-7.474376685	3.8064	0.0299113	0	0.78	0.546	1.014	1.091	0	24.9357	23.6107	21.94	20.6352	-99.0	20.0938
W1m0m0_5396	34.9209365	-7.473540859	3.88	0.0270247	0	0.77	0.538	1.002	1.091	0	26.2659	24.6022	23.0879	21.7543	-99.0	20.9869
W1m0m0_5552	34.51344765	-7.472431507	3.68967	0.0893244	0	0.91	0.659	1.161	1.091	0	26.5402	25.4315	23.3873	22.131	-99.0	21.1926
W1m0m0_5652	34.29414089	-7.471203252	2.92219	0.194246	0	0.66	0.442	0.878	1.455	0	25.6895	24.6258	23.3431	22.3629	-99.0	21.9713
W1m0m0_5753	34.38399737	-7.471212562	5.0658	0.0274946	0	0.56	0.355	0.765	1.091	0	25.293	23.5344	22.0487	21.0945	-99.0	20.6081
W1m0m0_5850	34.359154	-7.470627916	2.68227	0.119127	0	0.46	0.268	0.652	1.091	0	25.2681	23.3094	21.8861	21.166	-99.0	20.7649
W1m0m0_5916	34.06828513	-7.469750714	3.51905	0.0237204	0	0.67	0.451	0.889	1.455	0	25.3538	24.401	23.0044	22.1775	-99.0	21.6354
W1m0m0_6007	34.16181198	-7.468941668	2.59311	0.196031	0	0.62	0.407	0.833	1.091	0	26.1851	24.5095	22.9834	21.9096	-99.0	21.527
W1m0m0_6711	34.41547851	-7.465147148	2.53874	0.383016	0	0.44	0.25	0.629	1.455	0	25.3343	23.9864	22.7565	22.1851	-99.0	21.8235
W1m0m0_6728	34.05850441	-7.465268272	2.84301	0.0387305	0	0.62	0.407	0.833	1.0	0	26.8544	24.5086	23.0214	21.845	-99.0	21.2845
W1m0m0_6896	34.90291371	-7.464500662	3.71928	0.028564	0	0.7	0.477	0.923	1.091	0	26.2301	24.2807	22.697	21.4536	-99.0	20.9025
W1m0m0_6898	34.44316958	-7.46430996	3.61834	0.0212535	0	0.86	0.616	1.104	1.182	0	25.9185	25.0588	23.562	22.3347	-99.0	21.6684
W1m0m0_7075	34.84775004	-7.464109657	3.35259	0.0294449	0	0.39	0.207	0.573	1.455	0	23.1762	21.9786	20.7759	20.2636	-99.0	19.9041
W1m0m0_7124	34.61527404	-7.463351862	2.63666	0.147318	0	0.55	0.346	0.754	1.091	0	26.4546	24.2366	22.7605	21.8571	-99.0	21.3872
W1m0m0_7286	34.89562915	-7.462362029	3.56291	0.0286712	0	0.49	0.294	0.686	1.273	0	25.3375	23.8597	22.5033	21.8103	-99.0	21.4021
W1m0m0_7418	34.061614	-7.461742204	3.33813	0.0289948	0	0.36	0.181	0.539	1.455	0	23.2885	22.0093	20.8857	20.4116	-99.0	19.9863
W1m0m0_7566	34.06900152	-7.460123625	2.67693	0.0690261	0	0.63	0.416	0.844	1.0	0	27.337	24.4014	22.8808	21.6252	-99.0	21.2034
W1m0m0_7722	34.94489742	-7.459268967	3.06044	0.0348316	0	0.72	0.494	0.946	1.364	0	24.7493	23.5821	22.5289	21.4137	-99.0	20.9029
W1m0m0_7957	34.50857825	-7.458889359	3.36537	0.0302738	0	0.66	0.442	0.878	1.455	0	24.0101	23.0065	21.7001	20.7484	-99.0	20.357
W1m0m0_8078	34.23795475	-7.456968366	2.63759	0.0751767	0	0.75	0.52	0.98	1.273	0	25.5649	24.4837	22.9891	21.8046	-99.0	21.3693
W1m0m0_8089	34.11580259	-7.457051658	3.21094	0.0482345	0	0.79	0.555	1.025	1.0	0	99.0	25.2909	23.4835	22.092	-99.0	21.2567
W1m0m0_8424	34.94585222	-7.455279741	3.66139	0.0280587	0	0.71	0.485	0.935	1.364	0	24.9179	23.7285	22.6244	21.5087	-99.0	21.0153
