id	ALPHA_J2000	DELTA_J2000	FLUX_RADIUS	CLASS_STAR	fitclass	Z_B	Z_B_MIN	Z_B_MAX	T_B	star_flag	MAG_u	MAG_g	MAG_r	MAG_i	MAG_y	MAG_z
W1m4p1_46584	30.98102186	-6.331667928	3.83498	0.0144142	0	0.66	0.26	1.65	3.273	0	24.0272	23.4107	22.8295	22.3659	-99.0	21.9589
W1m4p1_46602	30.5995779	-6.332199731	4.77977	0.0259803	0	0.31	0.03	0.63	3.273	0	22.8862	22.2693	-99.0	21.3105	-99.0	21.219
W1m4p1_46603	30.73890975	-6.332040298	3.42175	0.0296598	0	0.31	0.01	0.49	3.182	0	22.1744	21.5018	20.8129	20.6224	-99.0	20.3254
W1m4p1_46605	31.06105409	-6.331105097	3.37961	0.0287147	0	0.43	0.242	0.618	2.727	0	23.6493	23.0464	22.0661	21.6878	-99.0	21.52
W1m4p1_46651	30.41527238	-6.33090094	2.78539	0.0776483	0	0.3	0.01	0.471	5.545	0	22.4028	21.9956	21.5077	21.547	-99.0	21.3042
W1m4p1_46660	30.66311684	-6.331296648	2.83595	0.0653298	0	0.84	0.598	1.082	1.545	0	24.804	24.0223	23.015	21.8712	-99.0	21.3303
W1m4p1_46671	30.6599922	-6.331136748	2.90817	0.0368207	0	0.67	0.451	0.889	3.364	0	23.8279	23.5092	22.8295	22.2499	-99.0	22.0476
W1m4p1_46686	30.68967709	-6.330925844	3.40627	0.0298621	0	0.25	0.05	0.414	1.818	0	23.8762	22.6472	21.8679	21.4413	-99.0	21.204
W1m4p1_46695	30.69744496	-6.330754737	3.12212	0.0285534	0	0.28	0.01	0.448	3.455	0	23.4266	22.7256	22.0985	21.9732	-99.0	21.7599
W1m4p1_46706	30.52988772	-6.331591507	5.01953	0.0268158	0	0.65	0.433	0.867	3.091	0	23.0084	22.5119	21.8045	21.1931	-99.0	20.9202
W1m4p1_46716	30.48606763	-6.330862976	3.44073	0.0209725	0	0.53	0.329	0.731	3.182	0	24.1551	23.7845	22.8808	22.4895	-99.0	22.2519
W1m4p1_46732	31.04719705	-6.330205669	3.09115	0.033445	0	0.72	0.494	0.95	4.091	0	23.2168	23.0212	22.6385	21.9941	-99.0	21.9164
W1m4p1_46749	30.23671836	-6.330651424	5.22105	0.0260584	0	0.39	0.207	0.59	2.0	0	23.7475	22.8262	21.8057	21.3754	-99.0	21.0935
W1m4p1_46772	30.73513527	-6.330696906	4.48008	0.0154417	0	0.69	0.468	1.67	2.182	0	24.2544	-99.0	22.6379	22.0195	-99.0	21.3715
W1m4p1_46776	30.41093573	-6.330351252	3.37652	0.0284861	0	0.46	0.268	0.66	3.455	0	22.8701	22.4867	21.7218	21.4149	-99.0	21.2456
W1m4p1_46805	30.50798645	-6.330019101	2.531	0.372175	0	0.41	0.225	0.61	3.364	0	23.5832	23.1214	22.2986	22.0804	-99.0	21.857
W1m4p1_46844	30.19862132	-6.329637789	4.43962	0.0146837	0	0.8	0.564	1.036	3.818	0	23.67	23.5499	23.2314	22.4637	-99.0	22.3491
W1m4p1_46892	30.53287481	-6.329765255	3.4296	0.0371753	0	0.42	0.234	0.606	1.0	0	24.867	22.7798	21.218	20.4194	-99.0	20.0867
W1m4p1_46916	30.89204111	-6.329185633	3.28636	0.0480659	0	0.54	0.338	0.742	1.0	0	27.0584	24.4727	23.2239	22.0842	-99.0	21.781
W1m4p1_46936	30.55281557	-6.329116313	2.58706	0.440785	0	0.78	0.546	1.73	5.636	0	22.7759	22.6055	22.3781	21.971	-99.0	21.7356
W1m4p1_46963	30.18845814	-6.329038529	3.32954	0.0253345	0	0.85	0.607	1.12	1.818	0	24.9326	24.2568	23.3278	22.2839	-99.0	21.7932
W1m4p1_46997	31.09618395	-6.328563004	2.81037	0.0373742	0	0.63	0.34	0.844	1.909	0	24.7967	23.6737	22.8113	21.9946	-99.0	21.7286
W1m4p1_47008	30.49536222	-6.3292134	4.82412	0.027963	0	0.33	0.155	0.56	2.455	0	23.174	22.323	21.5456	21.1788	-99.0	20.8769
W1m4p1_47073	30.53529554	-6.328208834	2.74622	0.0789173	0	0.72	0.494	0.95	2.727	0	24.5369	23.8364	23.242	22.444	-99.0	22.1521
W1m4p1_47100	31.10988115	-6.327967515	3.23199	0.0400685	0	0.86	0.616	1.104	1.0	0	99.0	25.5147	23.4087	22.0718	-99.0	21.2624
W1m4p1_47106	31.08316635	-6.328840648	4.48762	0.0280105	0	0.44	0.251	0.63	3.727	0	22.6011	22.2204	21.4895	21.187	-99.0	21.1762
W1m4p1_47122	30.72120337	-6.327767513	2.86108	0.192729	0	1.33	0.9	1.83	1.455	0	24.9198	23.8771	23.3262	22.3851	-99.0	21.4499
W1m4p1_47132	30.48122536	-6.328940317	3.59772	0.0299009	0	0.84	0.598	1.082	1.091	0	25.4136	24.5216	22.7606	21.4409	-99.0	20.8888
W1m4p1_47169	30.65908392	-6.327529963	2.92423	0.0296211	0	0.64	0.4	0.855	3.545	0	23.8701	23.5254	22.9014	22.3284	-99.0	22.2762
W1m4p1_47191	30.83965801	-6.327324432	3.91836	0.0421734	0	0.78	0.546	1.014	1.182	0	25.8774	24.6579	23.154	21.8577	-99.0	21.255
W1m4p1_47234	30.73735104	-6.327448319	3.51818	0.0251031	0	0.91	0.659	1.33	3.182	0	23.531	23.2991	22.8432	22.0549	-99.0	21.632
W1m4p1_47246	30.59762955	-6.327652221	3.84755	0.0242898	0	0.23	0.01	0.46	3.091	0	23.7367	22.9624	22.4286	22.0677	-99.0	21.9425
W1m4p1_47262	30.84076868	-6.326942442	2.58668	0.202483	0	0.78	0.546	1.014	1.364	0	25.3928	24.5192	23.3411	21.9685	-99.0	21.5834
W1m4p1_47277	30.33871306	-6.327462241	4.02267	0.0256837	0	0.17	0.01	0.33	3.727	0	22.9312	22.1641	21.9009	21.6624	-99.0	21.5196
W1m4p1_47280	30.60664056	-6.327606602	3.47837	0.0304261	0	0.68	0.459	0.901	1.091	0	25.9265	23.8575	22.3701	21.0386	-99.0	20.584
